data_ano,id_municipio,id_especie,area_ha
31/12/2014,1,1,0
31/12/2015,1,1,0
31/12/2016,1,1,0
31/12/2014,1,2,0
31/12/2015,1,2,0
31/12/2016,1,2,0
31/12/2014,1,3,250
31/12/2015,1,3,2425
31/12/2016,1,3,3316
31/12/2014,2,1,0
31/12/2015,2,1,0
31/12/2016,2,1,0
31/12/2014,2,2,0
31/12/2015,2,2,0
31/12/2016,2,2,0
31/12/2014,2,3,3010
31/12/2015,2,3,2890
31/12/2016,2,3,3952
31/12/2014,3,1,0
31/12/2015,3,1,0
31/12/2016,3,1,0
31/12/2014,3,2,0
31/12/2015,3,2,0
31/12/2016,3,2,0
31/12/2014,3,3,51
31/12/2015,3,3,50
31/12/2016,3,3,68
31/12/2014,4,1,0
31/12/2015,4,1,0
31/12/2016,4,1,0
31/12/2014,4,2,0
31/12/2015,4,2,0
31/12/2016,4,2,0
31/12/2014,4,3,191
31/12/2015,4,3,195
31/12/2016,4,3,267
31/12/2014,5,1,16
31/12/2015,5,1,18
31/12/2016,5,1,2600
31/12/2014,5,2,0
31/12/2015,5,2,0
31/12/2016,5,2,0
31/12/2014,5,3,0
31/12/2015,5,3,0
31/12/2016,5,3,0
31/12/2014,6,1,0
31/12/2015,6,1,0
31/12/2016,6,1,0
31/12/2014,6,2,0
31/12/2015,6,2,0
31/12/2016,6,2,0
31/12/2014,6,3,537
31/12/2015,6,3,516
31/12/2016,6,3,706
31/12/2014,7,1,0
31/12/2015,7,1,0
31/12/2016,7,1,0
31/12/2014,7,2,0
31/12/2015,7,2,0
31/12/2016,7,2,0
31/12/2014,7,3,207
31/12/2015,7,3,207
31/12/2016,7,3,283
31/12/2014,8,1,0
31/12/2015,8,1,0
31/12/2016,8,1,0
31/12/2014,8,2,0
31/12/2015,8,2,0
31/12/2016,8,2,0
31/12/2014,8,3,103
31/12/2015,8,3,103
31/12/2016,8,3,141
31/12/2014,9,1,0
31/12/2015,9,1,0
31/12/2016,9,1,0
31/12/2014,9,2,0
31/12/2015,9,2,0
31/12/2016,9,2,0
31/12/2014,9,3,3200
31/12/2015,9,3,3072
31/12/2016,9,3,4202
31/12/2014,10,1,0
31/12/2015,10,1,0
31/12/2016,10,1,0
31/12/2014,10,2,0
31/12/2015,10,2,0
31/12/2016,10,2,0
31/12/2014,10,3,65
31/12/2015,10,3,61
31/12/2016,10,3,83
31/12/2014,11,1,0
31/12/2015,11,1,0
31/12/2016,11,1,0
