id_venda,id_produto,quantidade,data_venda,id_cliente
442bc2f0-22d3-3c8a-9f71-0f9c16cee0b2,296,3,1997-09-17 21:50:14+00:00,1
77aa9946-a96d-373c-a227-d63bc1afcc90,296,1,1999-08-19 03:22:44+00:00,2
4ef6db5d-574a-3515-8850-e78270702b3c,296,6,1985-03-23 00:59:07+00:00,3
7c9d5179-1896-38ad-b9c3-aa535f95ebf4,296,2,2005-07-25 20:57:38+00:00,4
54536752-2eb2-3dc7-b810-b6e6c7037438,296,3,1996-08-11 08:55:55+00:00,5
b60d74cd-5234-34b7-aaef-cac262304923,296,7,2018-02-06 01:19:13+00:00,6
8716ed95-774c-312d-923c-d3a4a15794cb,296,3,1998-12-07 11:08:24+00:00,7
e4961951-5513-30ae-8cf9-5460ba7f9dd1,296,7,1993-01-12 21:18:34+00:00,8
16ad86cd-69c9-3706-afb7-560b7d07740e,296,2,1978-11-12 10:14:50+00:00,9
9b07d287-0b62-3819-8957-06a08147fe50,296,5,1976-09-13 21:21:09+00:00,10
bb514d59-6aee-3a2d-b962-ad385905a1e5,296,5,1979-05-25 22:29:24+00:00,11
3a9f8f6e-18fe-38df-aa16-50c2e062a005,296,4,2004-11-11 17:48:59+00:00,12
11bfcf39-31b4-30b1-a6be-88877b7aa48b,296,6,1971-01-12 04:30:58+00:00,13
ab61904e-d88d-3d5a-bf0f-da9c9a89ef4b,296,7,1993-06-18 05:46:13+00:00,14
1b6efdfc-10f1-362b-9532-fb1d067e38fc,296,4,1978-09-17 15:02:17+00:00,15
68f34a5c-09cd-38b2-a517-39e74a0eaab1,296,4,1982-08-18 18:58:11+00:00,16
821c23e8-e51f-3971-8fab-2612fab497fb,296,4,1998-04-26 00:52:10+00:00,17
dafdb847-cdad-37e2-812d-6aa02782b794,296,2,1974-03-22 13:17:33+00:00,18
20d4f3b5-0915-381c-ae99-9c485889fa7e,296,1,1983-10-20 07:16:10+00:00,19
6d88c1a5-8613-3cd2-9296-c4317186c418,296,4,2019-01-29 18:23:09+00:00,20
d58a6d97-f32b-3b55-b296-87d75e05ca56,296,4,2016-04-05 16:40:12+00:00,21
a08852d1-39d0-39f2-b053-703efd084298,296,3,1995-12-13 08:43:39+00:00,22
e9886b3b-4151-37bf-ab0a-12a5a931b4f4,296,6,2009-02-16 14:43:03+00:00,23
8beb0ab2-c187-38d3-b457-087524a025a9,296,6,2015-07-22 11:10:10+00:00,24
c0e62995-cbd9-3ba3-8513-305963858826,296,4,2006-02-19 17:30:03+00:00,25
ee3b89fb-16c6-395b-8852-1c3685f9b444,296,7,1985-05-14 18:05:25+00:00,26
a61912f9-da74-3af8-956f-02f19ac645ae,296,7,1992-09-30 11:43:46+00:00,27
262a52d8-5792-3093-82b2-aefecfe61b1b,296,6,2017-07-07 06:16:49+00:00,28
cb1bfa48-64db-3510-a7c4-53af465afdeb,296,5,2017-02-19 10:42:45+00:00,29
914a48df-6acb-3602-844b-82bc7431a97c,296,4,1977-02-12 21:09:37+00:00,30
02240103-2f2b-3f6e-adc2-c373a9607d8b,296,6,2005-07-07 13:45:18+00:00,31
35c32c39-63fc-3019-868c-523bfb35ca6e,296,3,2008-10-06 18:18:31+00:00,32
4945d734-6788-321e-9cfa-246210d3116f,296,7,2015-11-26 11:54:44+00:00,33
2bcbaafc-b4e0-3582-b9a9-fdbf26b92359,296,3,1994-09-16 22:01:13+00:00,34
d08ad64d-840b-31db-9ad9-fcfb5b54e729,296,2,1975-03-11 19:34:37+00:00,35
59807b0c-aecd-3950-aa7c-07f2497a027f,296,3,1981-05-30 02:35:32+00:00,36
5e381f89-bdf2-3e58-96db-2b0fcb75423c,296,7,2008-02-16 20:12:02+00:00,37
fd333d5e-408f-3324-95d5-860bc13c1bf3,296,5,1997-11-24 09:20:09+00:00,38
0c95893e-5ffd-3c31-87f2-c038f79c3ad7,296,5,1987-01-13 00:34:09+00:00,39
6399f4f8-8b9d-3b0b-b99c-6feb885bb65b,296,1,2011-07-26 22:30:46+00:00,40
f7c516dd-1087-33ce-83c5-be5eec39c57e,296,1,1983-06-07 18:51:34+00:00,41
